Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1780871323,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1780871324,50,,Aggregated,0.000000,0.000000,270,330,350,350,360,370,370,370,370,370,370,50,0,260.0,255.84396960002778,103.17981400021381,367.9980529996101,51459.2
1780871325,100,,Aggregated,0.000000,0.000000,220,290,320,320,350,360,370,370,370,370,370,114,0,210.0,214.67431837725982,6.2987069995870115,367.9980529996101,50791.34210526316
1780871326,150,,Aggregated,0.000000,0.000000,200,290,320,330,370,400,420,420,420,420,420,209,0,200.0,204.67535803829864,2.660714000739972,424.09407299965096,49604.01913875598
1780871327,200,,Aggregated,25.500000,0.000000,180,260,310,330,370,400,420,420,420,420,420,327,0,180.0,184.6052917676013,2.660714000739972,424.09407299965096,48332.70336391437
1780871328,250,,Aggregated,38.000000,0.000000,220,310,350,360,410,530,690,750,770,770,770,466,0,220.0,234.63458981332363,2.660714000739972,774.2671890000565,49093.309012875536
1780871329,300,,Aggregated,52.750000,0.000000,260,350,380,390,460,690,820,910,970,970,970,578,0,260.0,274.91395291870407,2.660714000739972,965.8601279998038,48983.43598615917
1780871330,350,,Aggregated,65.400000,0.000000,330,380,400,430,580,770,910,950,1100,1100,1100,727,0,330.0,320.78550964650333,2.660714000739972,1065.8406839993404,48881.05639614855
1780871331,400,,Aggregated,78.333333,0.000000,360,400,460,520,660,860,1000,1200,1300,1300,1300,849,0,360.0,366.4776357314603,2.660714000739972,1327.817724999477,48430.56065959953
1780871332,450,,Aggregated,82.571429,0.000000,380,470,610,720,840,970,1300,1600,1900,1900,1900,989,0,380.0,445.4967192224572,2.660714000739972,1912.014929000179,48298.201213346816
1780871333,500,,Aggregated,91.750000,0.000000,410,640,800,870,980,1200,1800,1900,2200,2200,2200,1143,0,410.0,535.1674037664181,2.660714000739972,2208.236730999488,47987.17235345582
1780871334,550,,Aggregated,96.000000,0.000000,460,790,910,980,1200,1400,2200,2600,3000,3000,3000,1282,0,460.0,635.8006327207602,2.660714000739972,2998.8152919995628,48524.15444617785
1780871335,600,,Aggregated,98.900000,0.000000,590,890,1000,1200,1400,1900,2600,2800,3200,3200,3200,1426,0,590.0,740.9509865133342,2.660714000739972,3196.8200350002007,48585.93338008415
1780871337,650,,Aggregated,114.300000,0.000000,680,970,1200,1400,1500,2200,2900,3200,3700,3800,3800,1541,0,680.0,821.7316879792443,2.660714000739972,3848.545644999831,48717.02985074627
1780871338,700,,Aggregated,123.100000,0.000000,780,1100,1400,1400,1900,2500,3200,3600,3900,3900,3900,1668,0,770.0,927.4525626840652,2.660714000739972,3913.425001000178,49118.20143884892
1780871339,750,,Aggregated,133.000000,0.000000,850,1300,1400,1700,2200,2800,3700,4200,4800,4900,4900,1800,0,850.0,1049.6882752527924,2.660714000739972,4854.1899950005245,49246.19888888889
1780871340,800,,Aggregated,134.100000,0.000000,910,1400,1800,1900,2400,3000,4200,4600,5000,5000,5000,1927,0,910.0,1161.7132934525293,2.660714000739972,4974.308776999351,49265.128697457185
1780871341,850,,Aggregated,134.100000,0.000000,980,1400,1900,2300,2600,3200,4600,5200,6000,6000,6000,2057,0,980.0,1288.892703180371,2.660714000739972,5977.1210180006165,48936.35537190083
1780871342,900,,Aggregated,132.200000,0.000000,1100,1600,2200,2400,3000,3700,5300,5700,6000,6200,6200,2156,0,1100.0,1400.9303116873948,2.660714000739972,6195.834570999978,49304.823283859
1780871343,950,,Aggregated,134.700000,0.000000,1200,1900,2400,2500,3100,4200,5700,6100,6900,7000,7000,2284,0,1200.0,1538.4597612289954,2.660714000739972,6960.031237999829,49265.22942206655
1780871344,1000,,Aggregated,129.200000,0.000000,1300,2100,2500,2800,3400,4600,6000,6600,7000,7000,7000,2396,0,1300.0,1654.8922775154526,2.660714000739972,6999.945841000226,49672.64315525877
1780871345,1000,,Aggregated,129.500000,0.000000,1400,2300,2800,3100,3700,4800,6400,7000,8000,8000,8000,2546,0,1400.0,1811.1452241398372,2.660714000739972,7995.478592000836,49470.936370777694
1780871346,1000,,Aggregated,124.700000,0.000000,1400,2400,3100,3200,3800,5400,6900,7600,8200,8300,8300,2653,0,1400.0,1928.519504535252,2.660714000739972,8263.787347999823,49575.88654353562
1780871347,1000,,Aggregated,125.600000,0.000000,1500,2500,3200,3600,4100,5800,7600,8200,9000,9000,9000,2778,0,1500.0,2068.965654599362,2.660714000739972,9019.365518000086,49431.43880489561
1780871348,1000,,Aggregated,122.100000,0.000000,1700,2700,3400,3700,4300,5900,7900,8600,9200,9300,9300,2881,0,1700.0,2181.4517471780714,2.660714000739972,9343.05097699962,49475.42971190559
1780871349,1000,,Aggregated,122.700000,0.000000,1900,3100,3600,3800,4500,6300,8400,9000,9900,10000,10000,3013,0,1900.0,2328.0696283504885,2.660714000739972,10014.641132000179,49607.777630268836
1780871350,1000,,Aggregated,122.700000,0.000000,2000,3100,3700,4000,4700,6700,8900,9500,10000,11000,11000,3096,0,2000.0,2426.664525350139,2.660714000739972,10513.826875000632,49685.43927648579
1780871351,1000,,Aggregated,121.300000,0.000000,2200,3200,3800,4300,5000,7400,9500,10000,11000,11000,11000,3220,0,2200.0,2575.1276319605704,2.660714000739972,11013.643470999341,49769.56397515528
1780871352,1000,,Aggregated,117.100000,0.000000,2300,3500,4100,4500,5300,7600,9800,11000,11000,11000,11000,3345,0,2300.0,2713.4307002651803,2.660714000739972,11481.41067600045,49853.19701046338
1780871353,1000,,Aggregated,114.900000,0.000000,2400,3700,4300,4600,5500,7900,10000,11000,12000,12000,12000,3447,0,2400.0,2828.708171876423,2.660714000739972,11873.213542000485,49911.71395416304
1780871354,1000,,Aggregated,117.100000,0.000000,2500,3700,4500,4900,5800,8300,11000,12000,13000,13000,13000,3566,0,2500.0,2972.0867281772407,2.660714000739972,13040.875610000512,50008.1399326977
1780871355,1000,,Aggregated,116.100000,0.000000,2500,3800,4600,5000,6000,8600,11000,12000,13000,13000,13000,3664,0,2500.0,3089.1130810267573,2.660714000739972,13040.875610000512,50074.4626091703
1780871356,1000,,Aggregated,115.900000,0.000000,2700,4100,4700,5300,6200,8900,12000,13000,14000,14000,14000,3770,0,2700.0,3219.879785711148,2.660714000739972,14033.245880000322,50125.29920424403
1780871357,1000,,Aggregated,112.400000,0.000000,3000,4200,5000,5500,6500,9200,12000,13000,14000,14000,14000,3878,0,3000.0,3352.7489415608616,2.660714000739972,14284.54296899963,50238.402269210936
1780871358,1000,,Aggregated,112.200000,0.000000,3100,4400,5300,5700,6800,9800,13000,14000,15000,15000,15000,4001,0,3100.0,3523.559242306928,2.660714000739972,15024.190077999265,50265.459885028744
1780871359,1000,,Aggregated,110.900000,0.000000,3100,4500,5400,5900,6900,9800,13000,14000,15000,15000,15000,4096,0,3100.0,3615.192321943854,2.660714000739972,15417.043704000207,50285.97021484375
1780871360,1000,,Aggregated,111.700000,0.000000,3200,4600,5600,6100,7200,9700,13000,14000,15000,15000,15000,4196,0,3200.0,3701.138498124173,2.660714000739972,15417.043704000207,50464.58651096282
1780871361,1000,,Aggregated,107.900000,0.000000,3300,4800,5800,6300,7200,9600,13000,14000,15000,15000,15000,4306,0,3300.0,3791.3793189688904,2.660714000739972,15417.043704000207,50436.994658615884
1780871362,1000,,Aggregated,108.500000,0.000000,3600,5000,6100,6600,7300,9500,13000,14000,15000,15000,15000,4429,0,3600.0,3888.38869496569,2.660714000739972,15417.043704000207,50456.28403702867
1780871363,1000,,Aggregated,107.500000,0.000000,3600,5200,6200,6800,7300,9400,13000,14000,15000,15000,15000,4525,0,3600.0,3960.560174257244,2.660714000739972,15417.043704000207,50366.85127071823
1780871364,1000,,Aggregated,106.800000,0.000000,3700,5400,6400,7000,7300,9200,13000,14000,15000,15000,15000,4629,0,3700.0,4035.0592903139013,2.660714000739972,15417.043704000207,50392.32339598185
1780871365,1000,,Aggregated,107.300000,0.000000,3800,5600,6700,7200,7300,9100,13000,14000,15000,15000,15000,4743,0,3800.0,4114.507861524783,2.660714000739972,15417.043704000207,50401.688804554076
1780871366,1000,,Aggregated,107.400000,0.000000,3800,5700,6900,7200,7400,9000,13000,14000,15000,15000,15000,4856,0,3800.0,4191.462990488269,2.660714000739972,15417.043704000207,50420.94275123558
1780871367,1000,,Aggregated,106.300000,0.000000,4000,5900,7000,7200,7400,8900,13000,14000,15000,15000,15000,4959,0,4000.0,4256.345872931646,2.660714000739972,15417.043704000207,50368.71748336358
1780871368,1000,,Aggregated,106.300000,0.000000,4200,6100,7200,7200,7400,8800,13000,14000,15000,15000,15000,5070,0,4200.0,4324.86459966904,2.660714000739972,15417.043704000207,50351.68441814596
1780871369,1000,,Aggregated,105.700000,0.000000,4300,6300,7200,7300,7400,8700,13000,14000,15000,15000,15000,5150,0,4300.0,4372.097519255734,2.660714000739972,15417.043704000207,50346.99067961165
1780871370,1000,,Aggregated,106.000000,0.000000,4400,6400,7200,7300,7400,8600,13000,14000,15000,15000,15000,5244,0,4400.0,4426.3686527364625,2.660714000739972,15417.043704000207,50344.12776506483
1780871371,1000,,Aggregated,105.600000,0.000000,4400,6600,7200,7300,7500,8500,12000,14000,15000,15000,15000,5339,0,4400.0,4483.043172094027,2.660714000739972,15417.043704000207,50490.55497284135
1780871372,1000,,Aggregated,105.200000,0.000000,4600,6800,7200,7300,7500,8400,12000,14000,15000,15000,15000,5440,0,4600.0,4543.87062755956,2.660714000739972,15417.043704000207,50485.88805147059
1780871373,1000,,Aggregated,104.500000,0.000000,4600,6900,7300,7300,7600,8300,12000,14000,15000,15000,15000,5528,0,4600.0,4596.585083074713,2.660714000739972,15417.043704000207,50483.698806078144
1780871374,1000,,Aggregated,102.700000,0.000000,4700,7000,7300,7400,7700,8200,12000,14000,15000,15000,15000,5625,0,4700.0,4656.662563815293,2.660714000739972,15417.043704000207,50414.876622222226
1780871375,1000,,Aggregated,99.600000,0.000000,4800,7100,7300,7400,7700,8400,12000,14000,15000,15000,15000,5676,0,4800.0,4690.302335667373,2.660714000739972,15417.043704000207,50551.8003875969
1780871376,1000,,Aggregated,98.100000,0.000000,5000,7200,7300,7400,7900,8700,12000,14000,15000,15000,15000,5788,0,5000.0,4767.218696700586,2.660714000739972,15417.043704000207,50573.25155494126
1780871377,1000,,Aggregated,93.900000,0.000000,5000,7200,7300,7400,8100,8900,12000,14000,15000,15000,15000,5872,0,5000.0,4825.471732496423,2.660714000739972,15417.043704000207,50592.07373978202
1780871378,1000,,Aggregated,95.200000,0.000000,5200,7200,7300,7400,8300,9100,12000,14000,15000,15000,15000,5969,0,5200.0,4895.4754439029975,2.660714000739972,15417.043704000207,50560.042888255986
1780871379,1000,,Aggregated,92.000000,0.000000,5300,7200,7400,7500,8600,9200,12000,14000,15000,15000,15000,6034,0,5300.0,4942.499353812394,2.660714000739972,15417.043704000207,50642.251242956576
1780871380,1000,,Aggregated,88.400000,0.000000,5400,7200,7400,7500,8700,9300,12000,14000,15000,15000,15000,6087,0,5400.0,4983.003284844254,2.660714000739972,15417.043704000207,50647.35386890094
1780871381,1000,,Aggregated,87.500000,0.000000,5500,7200,7400,7500,8800,9600,12000,14000,15000,15000,15000,6153,0,5500.0,5036.761082826258,2.660714000739972,15417.043704000207,50650.020802860396
1780871382,1000,,Aggregated,83.900000,0.000000,5600,7300,7400,7600,8900,9900,12000,14000,15000,15000,15000,6215,0,5600.0,5090.405496688167,2.660714000739972,15417.043704000207,50673.30619469027
1780871383,1000,,Aggregated,80.800000,0.000000,5600,7300,7400,7600,9000,10000,12000,14000,15000,15000,15000,6255,0,5600.0,5126.268815982886,2.660714000739972,15417.043704000207,50635.33061550759
1780871384,1000,,Aggregated,78.400000,0.000000,5700,7300,7400,7700,9200,10000,12000,14000,15000,15000,15000,6352,0,5700.0,5213.204275347757,2.660714000739972,15417.043704000207,50571.64940176322
1780871385,1000,,Aggregated,74.000000,0.000000,5800,7300,7500,7800,9300,11000,12000,14000,15000,15000,15000,6430,0,5800.0,5283.613103520674,2.660714000739972,15417.043704000207,50602.37371695179
1780871386,1000,,Aggregated,74.000000,0.000000,5900,7300,7500,8000,9800,11000,12000,14000,15000,15000,15000,6544,0,5900.0,5385.613989916095,2.660714000739972,15417.043704000207,50637.70247555012
1780871387,1000,,Aggregated,74.300000,0.000000,6000,7300,7600,8100,10000,11000,12000,14000,15000,15000,15000,6615,0,6000.0,5445.930162004221,2.660714000739972,15417.043704000207,50581.23159486017
1780871388,1000,,Aggregated,70.400000,0.000000,6100,7300,7700,8300,11000,11000,12000,14000,15000,15000,15000,6717,0,6100.0,5528.929723394366,2.660714000739972,15417.043704000207,50652.62259937472
1780871389,1000,,Aggregated,74.100000,0.000000,6300,7300,7700,8600,11000,11000,11000,14000,15000,15000,15000,6793,0,6300.0,5588.033779272039,2.660714000739972,15417.043704000207,50591.63727366406
1780871390,1000,,Aggregated,77.700000,0.000000,6300,7400,7900,8700,11000,11000,11000,13000,15000,15000,15000,6895,0,6300.0,5665.7776445006475,2.660714000739972,15417.043704000207,50620.335170413346
1780871391,1000,,Aggregated,76.100000,0.000000,6600,7400,8000,9000,11000,11000,11000,13000,15000,15000,15000,7028,0,6600.0,5755.343911660074,2.660714000739972,15417.043704000207,50567.868952760386
1780871392,1000,,Aggregated,79.600000,0.000000,6700,7400,8300,9200,11000,11000,11000,13000,15000,15000,15000,7145,0,6700.0,5819.686417626731,2.660714000739972,15417.043704000207,50480.87389783065
1780871393,1000,,Aggregated,85.400000,0.000000,6800,7400,8600,9200,11000,11000,11000,13000,15000,15000,15000,7222,0,6800.0,5853.3420725944325,2.660714000739972,15417.043704000207,50379.2889781224
1780871394,1000,,Aggregated,88.100000,0.000000,6900,7500,8700,9100,11000,11000,11000,13000,15000,15000,15000,7310,0,6900.0,5888.618160366209,2.660714000739972,15417.043704000207,50427.08153214774
1780871395,1000,,Aggregated,92.900000,0.000000,7000,7500,8700,9100,11000,11000,11000,13000,15000,15000,15000,7390,0,7000.0,5917.840187382405,2.660714000739972,15417.043704000207,50518.20893098782
1780871396,1000,,Aggregated,93.100000,0.000000,7100,7600,8700,9100,11000,11000,11000,13000,15000,15000,15000,7488,0,7100.0,5952.563866693366,2.660714000739972,15417.043704000207,50487.562232905984
1780871397,1000,,Aggregated,96.300000,0.000000,7200,7600,8700,9100,11000,11000,11000,13000,15000,15000,15000,7576,0,7200.0,5982.772734559653,2.660714000739972,15417.043704000207,50476.72109292503
1780871398,1000,,Aggregated,97.400000,0.000000,7200,7700,8700,9000,11000,11000,11000,13000,15000,15000,15000,7694,0,7200.0,6022.752671147638,2.660714000739972,15417.043704000207,50391.00064985703
1780871399,1000,,Aggregated,94.500000,0.000000,7200,7800,8700,9000,11000,11000,11000,13000,15000,15000,15000,7786,0,7200.0,6049.284927648337,2.660714000739972,15417.043704000207,50374.012586694065
1780871400,1000,,Aggregated,93.600000,0.000000,7200,7900,8600,8900,11000,11000,11000,13000,15000,15000,15000,7900,0,7200.0,6079.387295240621,2.660714000739972,15417.043704000207,50317.369620253165
1780871401,1000,,Aggregated,99.300000,0.000000,7200,8000,8600,8900,11000,11000,11000,13000,15000,15000,15000,7946,0,7200.0,6093.207853526289,2.660714000739972,15417.043704000207,50340.691291215706
1780871402,1000,,Aggregated,99.600000,0.000000,7200,8100,8700,8900,11000,11000,11000,13000,15000,15000,15000,8050,0,7200.0,6129.450833108928,2.660714000739972,15417.043704000207,50408.492919254655
1780871403,1000,,Aggregated,94.600000,0.000000,7200,8200,8700,9000,11000,11000,11000,13000,15000,15000,15000,8160,0,7200.0,6166.831888589083,2.660714000739972,15417.043704000207,50351.475857843136
1780871404,1000,,Aggregated,90.400000,0.000000,7300,8200,8700,8900,11000,11000,11000,13000,15000,15000,15000,8263,0,7300.0,6199.481070573389,2.660714000739972,15417.043704000207,50321.192908144745
1780871405,1000,,Aggregated,93.600000,0.000000,7300,8300,8700,8900,11000,11000,11000,13000,15000,15000,15000,8340,0,7300.0,6221.734006891235,2.660714000739972,15417.043704000207,50293.867026378895
1780871406,1000,,Aggregated,94.400000,0.000000,7300,8400,8700,8900,11000,11000,11000,13000,15000,15000,15000,8448,0,7300.0,6251.703644508509,2.660714000739972,15417.043704000207,50310.858783143936
1780871407,1000,,Aggregated,94.500000,0.000000,7300,8400,8700,8900,11000,11000,11000,13000,15000,15000,15000,8531,0,7300.0,6273.567918467688,2.660714000739972,15417.043704000207,50315.63157894737
1780871408,1000,,Aggregated,93.900000,0.000000,7300,8400,8700,8900,11000,11000,11000,13000,15000,15000,15000,8609,0,7300.0,6294.453290069911,2.660714000739972,15417.043704000207,50373.24462771518
1780871409,1000,,Aggregated,96.000000,0.000000,7300,8500,8700,8900,11000,11000,11000,13000,15000,15000,15000,8738,0,7300.0,6329.229194619918,2.660714000739972,15417.043704000207,50324.96372167544
1780871410,1000,,Aggregated,93.400000,0.000000,7300,8500,8700,8900,11000,11000,11000,13000,15000,15000,15000,8856,0,7300.0,6359.74932739847,2.660714000739972,15417.043704000207,50331.96578590786
1780871411,1000,,Aggregated,91.400000,0.000000,7300,8500,8700,8900,11000,11000,11000,13000,15000,15000,15000,8959,0,7300.0,6383.818439165072,2.660714000739972,15417.043704000207,50343.559325817616
1780871412,1000,,Aggregated,91.800000,0.000000,7400,8500,8700,8900,11000,11000,11000,13000,15000,15000,15000,9062,0,7400.0,6402.298114639255,2.660714000739972,15417.043704000207,50292.37111013021
1780871413,1000,,Aggregated,98.100000,0.000000,7400,8500,8700,8800,10000,11000,11000,13000,15000,15000,15000,9194,0,7400.0,6423.323132430379,2.660714000739972,15417.043704000207,50208.606373721996
1780871414,1000,,Aggregated,102.000000,0.000000,7400,8500,8700,8800,10000,11000,11000,13000,15000,15000,15000,9299,0,7400.0,6437.330232749639,2.660714000739972,15417.043704000207,50172.53629422519
1780871415,1000,,Aggregated,99.200000,0.000000,7400,8500,8700,8800,10000,11000,11000,13000,15000,15000,15000,9394,0,7400.0,6449.022999620174,2.660714000739972,15417.043704000207,50137.21588247818
1780871416,1000,,Aggregated,101.400000,0.000000,7400,8400,8700,8800,10000,11000,11000,13000,15000,15000,15000,9500,0,7400.0,6462.044853252096,2.660714000739972,15417.043704000207,50142.20242105263
1780871417,1000,,Aggregated,103.100000,0.000000,7400,8400,8700,8800,10000,11000,11000,13000,15000,15000,15000,9601,0,7400.0,6471.50622543026,2.660714000739972,15417.043704000207,50076.71305072388
1780871418,1000,,Aggregated,103.400000,0.000000,7400,8400,8700,8800,10000,11000,11000,13000,15000,15000,15000,9709,0,7400.0,6480.552622622092,2.660714000739972,15417.043704000207,50064.57245854362
1780871419,1000,,Aggregated,104.300000,0.000000,7400,8400,8600,8800,10000,11000,11000,13000,15000,15000,15000,9823,0,7400.0,6489.629260769001,2.660714000739972,15417.043704000207,50051.283721877226
1780871420,1000,,Aggregated,109.000000,0.000000,7400,8300,8600,8800,10000,11000,11000,13000,15000,15000,15000,9922,0,7400.0,6498.608675711137,2.660714000739972,15417.043704000207,50056.19038500302
1780871421,1000,,Aggregated,108.600000,0.000000,7400,8300,8600,8800,10000,11000,11000,13000,15000,15000,15000,10017,0,7400.0,6507.577098510324,2.660714000739972,15417.043704000207,50073.69821303784
1780871422,1000,,Aggregated,108.700000,0.000000,7400,8300,8600,8800,10000,11000,11000,13000,15000,15000,15000,10112,0,7400.0,6516.620922771946,2.660714000739972,15417.043704000207,50062.54697389241
1780871423,1000,,Aggregated,104.500000,0.000000,7400,8200,8600,8700,10000,11000,11000,13000,15000,15000,15000,10208,0,7400.0,6528.222475224522,2.660714000739972,15417.043704000207,50033.29506269593
1780871424,1000,,Aggregated,105.600000,0.000000,7400,8200,8600,8700,10000,11000,11000,13000,15000,15000,15000,10317,0,7400.0,6542.402491033434,2.660714000739972,15417.043704000207,50086.0636813027
1780871425,1000,,Aggregated,104.100000,0.000000,7400,8200,8600,8700,10000,11000,11000,13000,15000,15000,15000,10427,0,7400.0,6555.579926903419,2.660714000739972,15417.043704000207,50031.23544643713
1780871426,1000,,Aggregated,102.400000,0.000000,7400,8100,8600,8700,10000,11000,11000,13000,15000,15000,15000,10542,0,7400.0,6568.48987985486,2.660714000739972,15417.043704000207,50041.36264465946
1780871427,1000,,Aggregated,101.800000,0.000000,7500,8100,8600,8700,10000,11000,11000,12000,15000,15000,15000,10629,0,7500.0,6579.052043888227,2.660714000739972,15417.043704000207,50015.36278107065
1780871428,1000,,Aggregated,104.900000,0.000000,7500,8100,8600,8700,10000,11000,11000,12000,15000,15000,15000,10741,0,7500.0,6592.968646960889,2.660714000739972,15417.043704000207,49960.54994879434
1780871429,1000,,Aggregated,102.000000,0.000000,7500,8100,8600,8700,10000,11000,11000,12000,15000,15000,15000,10836,0,7500.0,6605.687065814034,2.660714000739972,15417.043704000207,50003.3696013289
1780871430,1000,,Aggregated,101.100000,0.000000,7500,8100,8600,8700,10000,11000,11000,12000,15000,15000,15000,10924,0,7500.0,6617.456687075697,2.660714000739972,15417.043704000207,49999.800439399485
