Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1780870801,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1780870802,50,,Aggregated,0.000000,0.000000,530,570,600,610,610,610,610,610,610,610,610,50,0,520.0,527.9052842199417,395.2848200005974,614.0382110006612,50018.82
1780870803,100,,Aggregated,0.000000,0.000000,350,480,520,540,600,610,610,610,610,610,610,111,0,350.0,349.16500062160947,2.8771999996024533,614.0382110006612,48961.14414414414
1780870804,150,,Aggregated,0.000000,0.000000,290,350,400,470,560,610,610,610,610,610,610,212,0,290.0,267.88958315566714,2.830797999195056,614.0382110006612,49907.21698113208
1780870805,200,,Aggregated,31.500000,0.000000,260,340,380,420,510,580,610,610,610,610,610,307,0,260.0,255.04262875897336,2.830797999195056,614.0382110006612,48903.31921824104
1780870806,250,,Aggregated,37.000000,0.000000,270,350,400,430,540,610,730,760,790,790,790,442,0,270.0,280.2768412126761,2.830797999195056,786.0426819997883,48202.68325791855
1780870807,300,,Aggregated,53.500000,0.000000,250,330,380,410,560,610,690,730,790,790,790,613,0,250.0,275.4575582088271,2.830797999195056,786.0426819997883,47825.238172920064
1780870808,350,,Aggregated,63.400000,0.000000,270,340,380,410,560,650,690,730,800,800,800,758,0,270.0,285.75089661612367,2.830797999195056,801.4421979996769,48480.90501319261
1780870809,400,,Aggregated,77.500000,0.000000,300,360,400,430,570,650,730,770,970,970,970,904,0,300.0,306.3898419601977,2.830797999195056,965.4008039997279,48169.33960176991
1780870810,450,,Aggregated,89.571429,0.000000,340,420,480,510,610,710,950,1200,1300,1300,1300,1088,0,340.0,354.4040970036872,2.830797999195056,1320.0403139999253,48756.93382352941
